time,surface_pressure (hPa),soil_moisture_0_to_7cm (m³/m³),et0_fao_evapotranspiration (mm),rain (mm),windspeed_10m (km/h),relativehumidity_2m (%),temperature_2m (°C),soil_temperature_0_to_7cm (°C),cloudcover (%),shortwave_radiation (W/m²),weathercode (wmo code),crop,stageOfGrowth,Kc,irrigation
2010-01-01,983.0,0.43,0.98,37.9,25.43,83.54,11.3,12.21,76.67,1144.0,53,Eggplant,CropDevStage,0.75,0
2010-01-02,990.18,0.41,1.54,5.1,21.95,76.42,10.77,11.5,50.12,1792.0,61,Cotton,LateSeasonStage,0.75,0
2010-01-03,1001.91,0.39,1.48,0.0,11.36,59.25,7.72,10.01,39.58,1931.0,0,Cabbage,LateSeasonStage,0.9,1
2010-01-04,1000.48,0.4,0.59,11.3,9.02,77.58,7.63,8.84,97.54,739.0,2,Lettuce,MidSeasonStage,1.0,0
2010-01-05,988.98,0.42,0.65,7.7,8.98,87.79,12.6,11.65,91.21,1105.0,53,Eggplant,InitialStage,0.45,0
2010-01-06,987.31,0.42,0.8,23.9,16.11,86.71,11.79,12.04,81.67,1379.0,53,Eggplant,LateSeasonStage,0.8,0
2010-01-07,993.74,0.41,1.04,7.9,10.23,83.75,11.41,11.95,54.71,2066.0,51,Cabbage,LateSeasonStage,0.9,0
2010-01-08,986.75,0.42,0.49,31.3,14.38,86.71,12.23,11.95,86.62,360.0,3,Lettuce,InitialStage,0.45,0
2010-01-09,986.74,0.42,0.68,28.5,15.85,84.62,9.33,10.56,77.08,1094.0,61,Lettuce,CropDevStage,0.6,0
2010-01-10,994.92,0.43,0.84,10.0,9.55,81.38,7.61,9.14,74.25,1876.0,53,Lettuce,InitialStage,0.45,0
2010-01-11,999.43,0.42,0.6,5.8,5.86,80.38,7.48,8.75,96.0,912.0,51,Lettuce,InitialStage,0.45,0
2010-01-12,998.41,0.4,0.99,0.0,6.09,78.71,7.2,8.17,20.67,2277.0,1,Eggplant,LateSeasonStage,0.8,1
